Source	Name	Location	Motivation	Other names
Beyond Identity	Buhtrap	Russia	Organized Crime	Ratpak Spider
Microsoft 	Burgundy Sandstorm	Iran	Nation-state	"REMIX KITTEN, Cadelle, Chafer"
Beyond Identity	Cadelle	Iran	APT	Cadelle
Beyond Identity	Cadet Blizzard	Russia	Hacktivists	DEV-0586/Cadet Blizzard
Microsoft 	Cadet Blizzard	Russia	Nation-state	"DEV-0586, EMBER BEAR"
Beyond Identity	Callisto Group	Russia	APT	TA446
Beyond Identity	Calypso	China	APT	Bronze Medley
Microsoft 	Canary Typhoon	China	Nation-state	"CIRCUIT PANDA, APT24, Palmerworm, BlackTech"
Microsoft 	Canvas Cyclone	Vietnam	Nation-state	"BISMUTH, OCEAN BUFFALO, OceanLotus, APT32"
Microsoft 	Caramel Tsunami	Israel	 Private sector offensive actor	DEV-0236
Beyond Identity	Carderbee	China	APT	Carderbee
Beyond Identity	CardinalLizard	China	APT	CardinalLizard
Beyond Identity	Careto	Spain	APT	Careto
Microsoft 	Carmine Tsunami	Private sector offensive actor		
Beyond Identity	CeranaKeeper	China	APT	
Beyond Identity	Chamelgang	China	APT	Sunrise Panda
Microsoft 	Charcoal Typhoon	China	Nation-state	"CHROMIUM, AQUATIC PANDA, ControlX, RedHotel, BRONZE UNIVERSITY"
Microsoft 	Checkered Typhoon	China	Nation-state	"CHLORINE, DEEP PANDA, ATG50, APT19, TG-3551, Red Gargoyle"
Beyond Identity	Chimera	China	APT	G0114
Beyond Identity	Chuckling Squad	United States of America	Hacktivists	ATK124
Microsoft 	Cinnamon Tempest	China	Financially motivated	"DEV-0401, HighGround"
Microsoft 	Circle Typhoon	China	Nation-state	"DEV-0322, EMISSARY PANDA, APT6, APT27"
Beyond Identity	Circus Spider	Russia	Organized Crime	Circus Spider
Microsoft 	Citrine Sleet	North Korea	Nation-state	"Storm-0139, Storm-1222, LABYRINTH CHOLLIMA"
Beyond Identity	Clever Kitten	Iran	APT	Clever Kitten
Beyond Identity	Cloud Atlas	Russia	APT	Cloud Atlas
Beyond Identity	Cobalt Agora	Iran	APT	Cobalt Agora
Beyond Identity	Cobalt Aztec	Iran	APT	DEV-1084/Storm-1084
Beyond Identity	Cobalt Group	Russia	Organized Crime	Cobalt Spider
Microsoft 	Copper Typhoon	China	Nation-state	"Tonto Team, Earth Akhlut, Sharp-R"
Beyond Identity	CopyKittens	Iran	APT	Slayer Kitten
Beyond Identity	Corsair Jackal	Tunisia	Hacktivists	Corsair Jackal
Beyond Identity	Cosmic Lynx	Russia	Business Email Compromise	
Microsoft 	Cotton Sandstorm	Iran	Nation-state	"NEPTUNIUM, HAYWIRE KITTEN, Vice Leaker"
Beyond Identity	Covellite	North Korea	APT	UNC4034
Microsoft 	Crescent Typhoon	China	Nation-state	CESIUM
Microsoft 	Crimson Sandstorm	Iran	Nation-state	"CURIUM, IMPERIAL KITTEN, Tortoise Shell, HOUSEBLEND, TA456"
Beyond Identity	Cron	Russia	Organized Crime	Cron
Microsoft 	Cuboid Sandstorm	Iran	Nation-state	"DEV-0228, IMPERIAL KITTEN"
Beyond Identity	Curious Gorge	China	APT	Curious Gorge
Beyond Identity	Curious Jackal	Venezuela	Hacktivists	Curious Jackal
Beyond Identity	Cutting Kitten	Iran	APT	Cutting Kitten
Beyond Identity	Cyber Army of Russia	Russia	Hacktivists	Cyber Army of Russia Reborn
Beyond Identity	Cyber Berkut	Russia	Hacktivists	Cyber Berkut
Beyond Identity	CyberGhost404	Philippines	Hacktivists	ATK121
Beyond Identity	CyberRoot	India	Mercenary	Orange Abtu
Microsoft 	Daffodil Gust	United Arab Emirates		"Stealth Falcon, Fruity Armor, Project Raven"
Beyond Identity	Dangerous Password	North Korea	APT	Genie Spider
Beyond Identity	Dark Basin	India	Organized Crime	Dark Basin
Beyond Identity	Dark Caracal	Lebanon	APT	G0070
Beyond Identity	DarkHotel	South Korea	APT	Fallout Team
Beyond Identity	DarkHydrus	Iran	APT	LazyMeerkat
Beyond Identity	DarKrypt	Iran	Organized Crime	Yellow Dev 21
Beyond Identity	Dd4bc	United States of America	Unknown	Pizzo Spider
Beyond Identity	Demonsad	Brazil	Hacktivists	ATK127
Microsoft 	Denim Tsunami	Austria	Private sector offensive actor	DEV-0291
Beyond Identity	Desert Falcons	Gaza	Hacktivists	Renegade Jackal
Beyond Identity	DEV-0215	North Korea	APT	DEV-0215/Lawrencium/Pearl Sleet
Beyond Identity	DEV-0216	Russia	Organized Crime	DEV-0216
Beyond Identity	DEV-0228	Iran	Organized Crime	DEV-0228/Cuboid Sandstorm
Beyond Identity	DEV-0234	China	APT	DEV-0234/Lilac Typhoon
Beyond Identity	DEV-0322	China	Organized Crime	DEV-0322/Circle Typhoon
Beyond Identity	DEV-0324	Russia	Organized Crime	DEV-0324
Beyond Identity	DEV-0343	Iran	APT	DEV-0343/Gray Sandstorm
Beyond Identity	DEV-0387	Russia	Organized Crime	DEV-0387
Beyond Identity	DEV-0448	Russia	Organized Crime	DEV-0448
Beyond Identity	DEV-0450	Russia	Organized Crime	TA570
Beyond Identity	DEV-0530	North Korea	Organized Crime	DEV-0530/Storm-0530
Beyond Identity	DEV-0861	Iran	Unknown	DEV-0861
Beyond Identity	DEV-0960	Russia	Organized Crime	DEV-0960
Microsoft 	Diamond Sleet	North Korea	Nation-state	"ZINC, LABYRINTH CHOLLIMA, Black Artemis, Lazarus"
Beyond Identity	Domestic Kitten	Iran	APT	G0097
Beyond Identity	Donot Team	India	APT	Viceroy Tiger
Beyond Identity	Dragonfly 2.0	Russia	APT	Berserk Bear
Beyond Identity	DragonOK	China	APT	Temp.DragonOK
Beyond Identity	DumpForums	Ukraine	Hacktivists	
Beyond Identity	Dungeon Spider	Russia	Organized Crime	Dungeon Spider
Beyond Identity	Dust Storm	China	APT	G0031
Beyond Identity	Earth Baxia	China	APT	
Beyond Identity	Earth Berberoka	China	APT	DiceyF
Beyond Identity	Earth Longzhi	China	APT	Earth Longzhi
Beyond Identity	Earth Yako	China	APT	Earth Yako
Beyond Identity	EGoManiac	Turkey	Unknown	EGoManiac
Beyond Identity	Eldorado	Russia	Ransomware Gang	
Beyond Identity	Electric Panda	China	APT	Electric Panda
Beyond Identity	Eloquent Panda	China	APT	Eloquent Panda
Beyond Identity	Embargo Ransomware	Russia	Ransomware Gang	
Microsoft 	Emerald Sleet	North Korea	Nation-state	"THALLIUM, VELVET CHOLLIMA, RGB-D5, Black Banshee, Kimsuky, Greendinosa"
Beyond Identity	Energetic Bear	Russia	APT	TEMP.Isotope
Beyond Identity	Equation Group	United States of America	APT	Equation Group
Beyond Identity	Ethereal Panda	China	APT	Ethereal Panda
Beyond Identity	Evanescent Bat	Russia	APT	Evanescent Bat
Beyond Identity	Evasive Panda	China	APT	Bronze Highland
Beyond Identity	Evil Corp	Russia	Organized Crime	UNC2165
Beyond Identity	Evil Eye	China	APT	Red Dev 16
Beyond Identity	EvilNominatus	Iran	Script Kiddies	EvilNominatus
Beyond Identity	EvilPost	China	APT	EvilPost
Beyond Identity	Exotic Lily	Russia	Organized Crime	TA580
Beyond Identity	Fallaga team	Tunisia	Hacktivists	Rebel Jackal
Microsoft 	Fallow Squall	Singapore	Nation-state	"PLATINUM, PARASITE, RUBYVINE, GINGERSNAP"
Beyond Identity	FamousSparrow	China	APT	Earth Estries
Beyond Identity	Festive Jackal	Lebanon	Hacktivists	Festive Jackal
Beyond Identity	FIN1	Russia	Organized Crime	FIN1
Beyond Identity	FIN12	Russia	Organized Crime	FIN12/TEMP.MixMaster/UNC1878
Beyond Identity	FIN13	Mexico	Organized Crime	FIN13
Beyond Identity	FIN4	Romania	Organized Crime	FIN4
Beyond Identity	FIN7	Russia	Organized Crime	FIN7
Beyond Identity	Fishing Elephant	India	APT	Fishing Elephant
Beyond Identity	Fishmaster	China	APT	Aquatic Panda/ControlX
Beyond Identity	Flash Kitten	Iran	APT	Flash Kitten
Beyond Identity	Flax Typhoon	China	APT	Ethereal Panda
Microsoft 	Flax Typhoon	China	Nation-state	"Storm-0919, ETHEREAL PANDA"
Beyond Identity	FlowingFrog	China	APT	FlowingFrog
Beyond Identity	Flying Kitten	Iran	APT	Ajax Security Team
Microsoft 	Forest Blizzard	Russia	Nation-state	"STRONTIUM, FANCY BEAR, Sednit, ATG2, Sofacy, Blue Athena, Z-Lom Team, Operation Pawn Storm, Tsar Team, CrisisFour, HELLFIRE, APT28"
Beyond Identity	Foxy Panda	China	APT	Foxy Panda
Beyond Identity	Fraternal Jackal	Iran	Hacktivists	Fraternal Jackal
Beyond Identity	FruityArmor	United Arab Emirates	APT	FruityArmor
Beyond Identity	FunnyDream	China	APT	FunnyDream
Beyond Identity	Fxmsp	Kazakhstan	Organized Crime	ATK134
Beyond Identity	Gallium	China	APT	Phantom Panda
Beyond Identity	Gamaredon Group	Russia	Mercenary	Temp.Armageddon/UNC530
Beyond Identity	Gcman	Russia	Organized Crime	Gcman
Beyond Identity	Gelsemium	China	APT	Gelsemium
Microsoft 	Ghost Blizzard	Russia	Nation-state	"BROMINE, BERSERK BEAR, TG-4192, Koala Team, Blue Kraken, Crouching Yeti, Dragonfly"
Beyond Identity	GhostEmperor	China	APT	GhostEmperor
Beyond Identity	GhostNet	China	APT	Snooping Dragon
Beyond Identity	Ghostr	China	Organized Crime	Deep Panda
Beyond Identity	Gibberish Panda	China	APT	Gibberish Panda
Microsoft 	Gingham Typhoon	China	Nation-state	"GADOLINIUM, KRYPTONITE PANDA, TEMP.Periscope, Leviathan, JJDoor, APT40, Feverdream"
Beyond Identity	Gnosticplayers	Pakistan	Organized Crime	
Beyond Identity	Goblin Panda	China	APT	Cycldek
Beyond Identity	Gold Barondale	China	Organized Crime	Gold Barondale
Beyond Identity	Gold Blazer	Russia	Organized Crime	Alpha Spider
Beyond Identity	Gold Burlap	Russia	Organized Crime	Cyborg Spider
Beyond Identity	Gold Espresso	Russia	Organized Crime	Gold Espresso
Beyond Identity	Gold Heron	Russia	Organized Crime	Doppel spider
Beyond Identity	Gold Lounge	Russia	Organized Crime	Shining Spider
Beyond Identity	Gold Mystic	Russia	Organized Crime	Bitwise Spider
Beyond Identity	Gold Phantom	Russia	Organized Crime	Gold Phantom
Beyond Identity	Gold Skyline	Nigeria	Business Email Compromise	Gold Skyline
Beyond Identity	Gold Sonata	Russia	Organized Crime	Gold Sonata
Beyond Identity	Gold Symphony	Russia	Organized Crime	Gold Symphony
Beyond Identity	Gold Ulrick	Russia	Organized Crime	UNC1756/UNC2727
Beyond Identity	Gold Village	Russia	Organized Crime	Gold Village
Beyond Identity	Gold Waterfall	Russia	Organized Crime	DEV-0289
Beyond Identity	Gold Winter	Russia	Organized Crime	UNC2165
Beyond Identity	Gold Zodiac	Russia	Organized Crime	Gold Zodiac
Beyond Identity	Golden Falcon	Russia	APT	DustSquad
Beyond Identity	Goldmouse	Syria	APT	Deadeye Hawk
Beyond Identity	Gorgon Group	Pakistan	APT	G0078
Microsoft 	Granite Typhoon	China	Nation-state	"GALLIUM, PHANTOM PANDA"
Microsoft 	Gray Sandstorm	Iran	Nation-state	DEV-0343
Beyond Identity	Greenbug	Iran	APT	Tracer Kitten/Volatile Kitten
Beyond Identity	Greenspot	Taiwan	APT	APT-C-01
Beyond Identity	GreyEnergy	Russia	APT	GreyEnergy
Beyond Identity	Groundbait	Ukraine	APT	Groundbait
Beyond Identity	Group5	Iran	APT	G0043
Beyond Identity	Guru Spider	Russia	Organized Crime	Guru Spider
Beyond Identity	Habil Moonz	Indonesia	Hacktivists	ATK138
Beyond Identity	Hacking Team	Italy	Organized Crime	
Beyond Identity	Hafnium	China	APT	UNC2639/UNC2640/UNC2643
Beyond Identity	Hammer Panda	China	APT	Temp.Zhenbao
Beyond Identity	Handala	Iran	Other	
Microsoft 	Hazel Sandstorm	Iran	Nation-state	"EUROPIUM, HELIX KITTEN, COBALT GYPSY, Crambus, OilRig, APT34"
Microsoft 	Heart Typhoon	China	Nation-state	"HELIUM, AURORA PANDA, APT17, Hidden Lynx, ATG3, Red Typhoon, KAOS, TG-8153, SportsFans, DeputyDog, Tailgater"
Beyond Identity	HenBox	China	APT	
Microsoft 	Hexagon Typhoon	China	Nation-state	"HYDROGEN, NUMBERED PANDA, Calc Team, Red Anubis, APT12, DNS-Calc, HORDE"
Beyond Identity	Hexane	Iran	APT	ScorchedEpoch/Chrono Kitten
Beyond Identity	Hive0087	Iran	APT	Hive0087
Beyond Identity	Hive0089	China	Organized Crime	Hive0089
Beyond Identity	Holy Souls	Iran	Organized Crime	Vice Leaker
Beyond Identity	HomeLand Justice	Iran	APT	Banished Kitten
Beyond Identity	Hound Spider	Russia	Organized Crime	Hound Spider
Microsoft 	Houndstooth Typhoon	China	Nation-state	"HASSIUM, DRAGNET PANDA, isoon, deepclif"
Beyond Identity	Hunters International	Russia	Ransomware Gang	
Beyond Identity	Hurricaine Panda	China	APT	Hurricaine Panda
Beyond Identity	Hurricane Panda	China	Organized Crime	Hurricane Panda
Beyond Identity	IAmTheKing	Russia	APT	IAmTheKing
Beyond Identity	Icefog	China	APT	Icefog
Beyond Identity	Ictus Team	Iran	Hacktivists	Intrepid Jackal
Beyond Identity	Impersonating Panda	China	APT	Impersonating Panda
Beyond Identity	IndigoZebra	China	APT	IndigoZebra
Beyond Identity	IntrudingDivisor	Iran	APT	DEV-0166
Beyond Identity	InvisiMole	Russia	APT	Hive0051
Beyond Identity	Iridium	Iran	APT	Iridium
Beyond Identity	Iron Group	China	Organized Crime	G0106
Beyond Identity	IronHusky	China	APT	IronHusky
Beyond Identity	Jackpot Panda	China	APT	Jackpot Panda
Microsoft 	Jade Sleet	North Korea	Nation-state	"Storm-0954, LABYRINTH CHOLLIMA"
Microsoft 	Jasper Sleet	North Korea	Nation-state	Storm-0287
Beyond Identity	Jiangsu State Security Department	China	APT	
Beyond Identity	Jiin	France	Organized Crime	ATK126
Beyond Identity	Jtsec	Canada	Hacktivists	ATK139
Beyond Identity	Kamacite	Russia	APT	Kamacite
Beyond Identity	Kimsuky	North Korea	APT	UNC1130/UNC3782/UNC4469/APT43
Beyond Identity	Knotweed	Austria	Mercenary	Knotweed/Denim Tsunami
Beyond Identity	Kostovite	China	APT	UNC2630
Beyond Identity	LadyBoyle	China	APT	Dizzy Panda
Beyond Identity	leetMX	Mexico	APT	leetMX
Microsoft 	Lemon Sandstorm	Iran	Nation-state	"RUBIDIUM, PIONEER KITTEN"
Microsoft 	Leopard Typhoon	China	Nation-state	"LEAD, WICKED PANDA, TG-2633, TG-3279, Mana, KAOS, Red Diablo, Winnti Group"
Beyond Identity	Leviathan	China	APT	Temp.Periscope/Temp.Jumper/APT40
Beyond Identity	Libyan Scorpions	Libya	APT	Libyan Scorpions
Microsoft 	Lilac Typhoon	China	Nation-state	DEV-0234
Microsoft 	Linen Typhoon	China	Nation-state	"IODINE, EMISSARY PANDA, Red Phoenix, Hippo, Lucky Mouse, BOWSER, APT27, Wekby2, UNC215, TG-3390"
Beyond Identity	LockBit	Russia	Organized Crime	
Beyond Identity	Longhorn	United States of America	APT	The Lamberts
Beyond Identity	LookBack	China	APT	TA410
Beyond Identity	Lorec53	Russia	Hacktivists	UNC2589
Beyond Identity	Lotus Blossom	China	APT	Spring Dragon
Beyond Identity	Lucky Cat	China	APT	Lucky Cat
Beyond Identity	Luhansk Group	Russia	Hacktivists	Temp.Vermin
Beyond Identity	LulzSec Italia	Italy	Hacktivists	ATK143
Beyond Identity	LuminousMoth	China	APT	LuminousMoth
Beyond Identity	LuoYu	China	APT	Red Nue
Beyond Identity	Lurk	Russia	Organized Crime	Lurk
Beyond Identity	Mabna Institute	Iran	APT	TA407
Microsoft 	Magenta Dust	T rkiye	Nation-state	"PROMETHIUM, StrongPity, SmallPity"
Beyond Identity	Magic Kitten	Iran	APT	Magic Kitten
Beyond Identity	Magnetic Spider	Russia	Organized Crime	Magnetic Spider
Beyond Identity	Mahdi	Iran	APT	Madi
Beyond Identity	MalKamak	Iran	APT	UNC2448
Microsoft 	Manatee Tempest	Russia	Nation-state	"DEV-0243, INDRIK SPIDER"
Microsoft 	Mango Sandstorm	Iran	Nation-state	"MERCURY, STATIC KITTEN, SeedWorm, TEMP.Zagros, MuddyWater"
Microsoft 	Marbled Dust	T rkiye	Nation-state	"SILICON, COSMIC WOLF, Sea Turtle, UNC1326"
Microsoft 	Marigold Sandstorm	Iran	Nation-state	"DEV-500, VENGEFUL KITTEN"
Beyond Identity	Metel	Russia	Organized Crime	Metel
Microsoft 	Midnight Blizzard	Russia	Nation-state	"NOBELIUM, COZY BEAR, UNC2452, APT29"
Beyond Identity	Mikroceen	China	APT	SixLittleMonkeys
Microsoft 	Mint Sandstorm	Iran	Nation-state	"PHOSPHORUS, CHARMING KITTEN, Parastoo, Newscaster, APT35"
Beyond Identity	Molerats	Gaza	Hacktivists	Molerats
Beyond Identity	MoneyTaker	Russia	Organized Crime	MoneyTaker
Beyond Identity	Moonstone Sleet	North Korea	APT	Storm-1789
Microsoft 	Moonstone Sleet	North Korea	Nation-state	"Storm-1789, LABYRINTH CHOLLIMA"
Beyond Identity	Moses Staff	Iran	Organized Crime	Vengeful Kitten
Beyond Identity	Moshen Dragon	China	APT	Moshen Dragon
Beyond Identity	MuddyWater	Iran	APT	Temp.Zagros/UNC3313
Microsoft 	Mulberry Typhoon	China	Nation-state	"MANGANESE, KEYHOLE PANDA, Backdoor-DPD, COVENANT, CYSERVICE, Bottle, Red Horus, Red Naga, Auriga, APT5, ATG48, TG-2754, tabcteng"
Beyond Identity	Mustang Panda	China	APT	Temp.Hex
Beyond Identity	Nazar	Iran	APT	Nazar
Beyond Identity	Neodymium	Turkey	APT	Neodymium
Microsoft 	Neva Flood	Russia	 Influence operations	"Storm-1516, CopyCop"
Beyond Identity	Newsec Group	Brazil	Hacktivists	ATK137
Beyond Identity	Night Dragon	China	APT	G0014
Microsoft 	Night Tsunami	Israel	Nation-state	DEV-0336
Beyond Identity	NineBlog	China	APT	NineBlog
Beyond Identity	Nitro	China	APT	Covert Grove
Beyond Identity	Nobelium	Russia	APT	UNC2452/UNC2652
Beyond Identity	Nocturnal Spider	Russia	Organized Crime	Nocturnal Spider
Beyond Identity	North African Fox	Algeria	APT	APT-C-44
Beyond Identity	NSO Group	Israel	Mercenary	DEV-0336/Night Tsunami
Microsoft 	Nylon Typhoon	China	Nation-state	"NICKEL, VIXEN PANDA, Playful Dragon, RedRiver, ke3chang, APT15, Mirage"
Microsoft 	Oka Flood	Russia	 Influence operations	Storm-1679
Beyond Identity	OldGremlin	Russia	Organized Crime	OldGremlin
Beyond Identity	OnionDog	North Korea	APT	APT-C-03
Microsoft 	Onyx Sleet	North Korea	Nation-state	"PLUTONIUM, SILENT CHOLLIMA, StoneFly, Tdrop2 campaign, DarkSeoul, Black Chollima, Andariel, APT45"
Microsoft 	Opal Sleet	North Korea	Nation-state	"OSMIUM, VELVET CHOLLIMA, Planedown, Konni, APT43"
Beyond Identity	OurMine	Saudi Arabia	Organized Crime	ATK128
Beyond Identity	Outlaw	Romania	Organized Crime	Hive0121
Beyond Identity	Outlaw Spider	Russia	Organized Crime	Outlaw Spider
Beyond Identity	Outrider Tiger	India	APT	Outrider Tiger
Beyond Identity	Pacha Group	China	Organized Crime	Pacha Group
Beyond Identity	Pale Panda	China	APT	Pale Panda
Beyond Identity	ParkingBear	Russia	APT	ParkingBear
Beyond Identity	PassCV	China	APT	PassCV
Beyond Identity	Pat Bear	Syria	APT	Deadeye Jackal
Beyond Identity	Patchwork	India	APT	Dropping Elephant
Beyond Identity	Pay2Key	Iran	APT	UNC757
Microsoft 	Peach Sandstorm	Iran	Nation-state	"HOLMIUM, REFINED KITTEN, APT33, Elfin"
Microsoft 	Pearl Sleet	North Korea	Nation-state	LAWRENCIUM
Microsoft 	Pepper Typhoon	China	Nation-state	"LIMINAL PANDA, CL-STA-0969"
Beyond Identity	Percussion Spider	Turkey	Organized Crime	Percussion Spider
Microsoft 	Periwinkle Tempest	Russia	Nation-state	"DEV-0193, WIZARD SPIDER"
Microsoft 	Phlox Tempest	Israel	 Financially motivated	DEV-0796
Beyond Identity	Pinchy Spider	Russia	Organized Crime	UNC2565
Microsoft 	Pink Sandstorm	Iran	Nation-state	"AMERICIUM, SPECTRAL KITTEN, Agrius, Deadwood, BlackShadow, SharpBoys, FireAnt, Justice Blade"
Beyond Identity	Pinoy LulzSec	Philippines	Hacktivists	ATK129
Beyond Identity	PKPLUG	China	APT	Stately Taurus
Microsoft 	Plaid Rain	Lebanon	Nation-state	"POLONIUM, INCENDIARY JACKAL"
Beyond Identity	Platinum	China	APT	TwoForOne
Beyond Identity	Poison Needles	Ukraine	APT	APT-C-31
Beyond Identity	Poisonous Panda	China	APT	Poisonous Panda
Beyond Identity	Polonium	Lebanon	APT	Polonium/Plaid Rain
Beyond Identity	Poseidon Group	Brazil	APT	Poseidon Group
Beyond Identity	Predator Panda	China	APT	Predator Panda
Beyond Identity	Predatory Sparrow	Iran	Hacktivists	UNC4368
Beyond Identity	Prince of Persia	Iran	APT	Ferocious Kitten
Beyond Identity	Pryzraky Group	Brazil	Hacktivists	ATK142
Beyond Identity	Pulsar Kitten	Iran	APT	Pulsar Kitten
Microsoft 	Pumpkin Sandstorm	Iran	Nation-state	DEV-0146
Microsoft 	Purple Typhoon	China	Nation-state	"POTASSIUM, STONE PANDA, GOLEM, Evilgrab, AEON, LIVESAFE, ChChes, APT10, Haymaker, Webmonder, Foxtrot, Foxmail, MenuPass, Red Apollo"
Beyond Identity	Qilin	Russia	Organized Crime	Agenda
Beyond Identity	Radical Jackal	Spain	Hacktivists	Radical Jackal
Beyond Identity	Rampant Kitten	Iran	APT	Rampant Kitten
Beyond Identity	Rancor Group	China	APT	G0075
Microsoft 	Raspberry Typhoon	China	Nation-state	"RADIUM, LOTUS PANDA, LotusBlossom, APT30"
Beyond Identity	Rebel Jackal	Tunisia	Hacktivists	Rebel Jackal
Beyond Identity	ReconHellcat	Russia	APT	Blue Dev 6
Beyond Identity	Red Dev 14	China	APT	Red Dev 14
Beyond Identity	Red Dev 26	China	APT	Red Dev 26
Beyond Identity	Red Dev 32	China	APT	Red Dev 32
Beyond Identity	Red Foxtrot	China	APT	Nomad Panda
Beyond Identity	Red Menshen	China	APT	Red Menshen/Red Dev 18
Microsoft 	Red Sandstorm	Iran	Nation-state	"Storm-0842, BANISHED KITTEN, Void Manticore"
Beyond Identity	Red Signature	China	APT	Red Signature
Beyond Identity	RedAlpha	China	APT	Red Dev 3
Beyond Identity	RedCurl	China	APT	RedCurl
Beyond Identity	RedDelta	China	APT	Vertigo Panda
Beyond Identity	RedEcho	China	APT	TAG-38
Beyond Identity	RedEcho	China	APT	RedEcho
Beyond Identity	RedHack	Turkey	Hacktivists	Crimson Jackal
Beyond Identity	RedJuliett	China	Unknown	
